Match History
Match ID,match_20251103_030346
Date,2025-11-03T03:03:46.705897Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,CPU

Timestamp,You Moves,CPU Moves
2025-11-03T03:03:47.349257Z,"[1, 4, 6]",
2025-11-03T03:03:47.508650Z,,"[2, 6, 7]"
2025-11-03T03:03:48.087145Z,"[3, 5, 7]",
2025-11-03T03:03:48.284321Z,,"[4, 6, 8]"
2025-11-03T03:03:49.059401Z,"[5, 6, 9]",
2025-11-03T03:03:49.285100Z,,"[6, 6, 6]"
2025-11-03T03:03:49.864127Z,"[7, 6, 5]",
2025-11-03T03:03:50.116806Z,,"[8, 7, 7]"
2025-11-03T03:03:51.654901Z,"[9, 8, 8]",
2025-11-03T03:03:51.928700Z,,"[10, 5, 9]"
2025-11-03T03:03:52.948783Z,"[11, 8, 6]",
2025-11-03T03:03:53.235789Z,,"[12, 4, 10]"
2025-11-03T03:03:54.407094Z,"[13, 3, 11]",
2025-11-03T03:03:54.755782Z,,"[14, 8, 7]"
2025-11-03T03:03:55.516834Z,"[15, 9, 7]",
2025-11-03T03:03:55.880903Z,,"[16, 5, 5]"
2025-11-03T03:03:57.690548Z,"[17, 4, 4]",
2025-11-03T03:03:58.083075Z,,"[18, 7, 6]"
2025-11-03T03:04:04.339807Z,"[19, 7, 9]",
2025-11-03T03:04:04.733304Z,,"[20, 6, 10]"
2025-11-03T03:04:07.080959Z,"[21, 10, 6]",
2025-11-03T03:04:07.097948Z,,"[22, 11, 5]"
2025-11-03T03:04:10.463809Z,"[23, 9, 5]",
2025-11-03T03:04:10.915601Z,,"[24, 5, 10]"
2025-11-03T03:04:16.422994Z,"[25, 8, 9]",
2025-11-03T03:04:16.880568Z,,"[26, 3, 10]"
2025-11-03T03:04:20.039420Z,"[27, 7, 10]",
2025-11-03T03:04:20.056102Z,,"[28, 2, 10]"
