Match History
Match ID,match_20251103_032607
Date,2025-11-03T03:26:07.595777Z
Player 1,You
Player 2,P2
Board Size,15x15
Time per Move,20s
Winner,P2

Timestamp,You Moves,P2 Moves
2025-11-03T03:26:09.692094Z,"[1, 2, 6]",
2025-11-03T03:26:09.904444Z,,"[2, 2, 7]"
2025-11-03T03:26:10.513826Z,"[3, 3, 6]",
2025-11-03T03:26:10.910873Z,,"[4, 3, 7]"
2025-11-03T03:26:11.341600Z,"[5, 4, 6]",
2025-11-03T03:26:11.721964Z,,"[6, 4, 7]"
2025-11-03T03:26:12.121075Z,"[7, 5, 6]",
2025-11-03T03:26:12.448857Z,,"[8, 5, 7]"
2025-11-03T03:26:23.694592Z,"[9, 4, 11]",
2025-11-03T03:26:28.840874Z,,"[10, 4, 10]"
2025-11-03T03:26:35.505777Z,,"[11, 1, 7]"
