Match History
Match ID,match_20251103_074109
Date,2025-11-03T07:41:09.978855Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,CPU Moves
2025-11-03T07:41:11.159001Z,"[1, 5, 6]",
2025-11-03T07:41:11.317942Z,,"[2, 7, 7]"
2025-11-03T07:41:12.525256Z,"[3, 5, 7]",
2025-11-03T07:41:12.720604Z,,"[4, 5, 8]"
2025-11-03T07:41:14.000832Z,"[5, 5, 5]",
2025-11-03T07:41:14.227436Z,,"[6, 6, 8]"
2025-11-03T07:41:15.207273Z,"[7, 5, 9]",
2025-11-03T07:41:15.449674Z,,"[8, 7, 8]"
2025-11-03T07:41:22.135231Z,"[9, 4, 8]",
2025-11-03T07:41:22.396959Z,,"[10, 8, 8]"
2025-11-03T07:41:23.627123Z,"[11, 9, 8]",
2025-11-03T07:41:23.923622Z,,"[12, 7, 9]"
2025-11-03T07:41:24.847564Z,"[13, 7, 10]",
2025-11-03T07:41:25.161463Z,,"[14, 7, 6]"
2025-11-03T07:41:27.701864Z,"[15, 7, 5]",
2025-11-03T07:41:28.032516Z,,"[16, 6, 6]"
2025-11-03T07:41:31.091404Z,"[17, 6, 5]",
2025-11-03T07:41:31.415388Z,,"[18, 8, 5]"
2025-11-03T07:41:35.610501Z,"[19, 4, 5]",
2025-11-03T07:41:38.316550Z,"[20, 3, 5]",
