Match History
Match ID,match_20251105_054317
Date,2025-11-05T05:43:17.728793Z
Player 1,You
Player 2,P2
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,P2 Moves
2025-11-05T05:43:19.354279Z,"[1, 3, 4]",
2025-11-05T05:43:20.046000Z,,"[2, 5, 5]"
2025-11-05T05:43:20.740951Z,"[3, 5, 6]",
2025-11-05T05:43:21.371038Z,,"[4, 5, 7]"
2025-11-05T05:43:22.023169Z,"[5, 6, 7]",
2025-11-05T05:43:22.680965Z,,"[6, 7, 8]"
2025-11-05T05:43:23.406868Z,"[7, 8, 9]",
2025-11-05T05:43:25.193957Z,,"[8, 7, 7]"
2025-11-05T05:43:26.635859Z,"[9, 6, 6]",
2025-11-05T05:43:27.750987Z,,"[10, 7, 9]"
2025-11-05T05:43:28.524975Z,"[11, 7, 6]",
2025-11-05T05:43:29.287355Z,,"[12, 8, 7]"
2025-11-05T05:43:29.993774Z,"[13, 8, 6]",
2025-11-05T05:43:33.322855Z,,"[14, 6, 9]"
2025-11-05T05:43:34.381525Z,"[15, 4, 6]",
