Match History
Match ID,match_20251031_163557
Date,2025-10-31T16:35:57.103858Z
Player 1,You
Player 2,P2
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,P2 Moves
2025-10-31T16:36:02.264127Z,"[1, 0, 2]",
2025-10-31T16:36:02.845515Z,,"[2, 0, 3]"
2025-10-31T16:36:03.190709Z,"[3, 1, 3]",
2025-10-31T16:36:03.421709Z,,"[4, 1, 2]"
2025-10-31T16:36:03.818082Z,"[5, 2, 3]",
2025-10-31T16:36:04.362357Z,,"[6, 2, 2]"
2025-10-31T16:36:04.809924Z,"[7, 3, 3]",
2025-10-31T16:36:05.176361Z,,"[8, 3, 2]"
2025-10-31T16:36:05.574392Z,"[9, 4, 3]",
2025-10-31T16:36:05.922854Z,,"[10, 4, 2]"
2025-10-31T16:36:06.299934Z,"[11, 5, 3]",
