Match History
Match ID,match_20251103_031648
Date,2025-11-03T03:16:48.391301Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,CPU

Timestamp,You Moves,CPU Moves
2025-11-03T03:16:49.390499Z,"[1, 2, 9]",
2025-11-03T03:16:49.415422Z,,"[2, 4, 7]"
2025-11-03T03:16:50.212144Z,"[3, 3, 9]",
2025-11-03T03:16:50.242889Z,,"[4, 5, 7]"
2025-11-03T03:16:50.880079Z,"[5, 5, 9]",
2025-11-03T03:16:50.915287Z,,"[6, 6, 7]"
2025-11-03T03:16:51.281241Z,"[7, 7, 8]",
2025-11-03T03:16:51.316304Z,,"[8, 7, 7]"
2025-11-03T03:16:52.397612Z,"[9, 8, 7]",
2025-11-03T03:16:52.413845Z,,"[10, 3, 7]"
