Match History
Match ID,match_20251103_073952
Date,2025-11-03T07:39:52.722294Z
Player 1,You
Player 2,CPU
Board Size,15x15
Time per Move,20s
Winner,You

Timestamp,You Moves,CPU Moves
2025-11-03T07:39:56.626886Z,"[1, 5, 6]",
2025-11-03T07:39:56.651174Z,,"[2, 7, 7]"
2025-11-03T07:39:57.376577Z,"[3, 5, 7]",
2025-11-03T07:39:57.404929Z,,"[4, 7, 6]"
2025-11-03T07:39:58.651691Z,"[5, 8, 4]",
2025-11-03T07:39:58.685541Z,,"[6, 7, 8]"
2025-11-03T07:39:59.064590Z,"[7, 7, 5]",
2025-11-03T07:39:59.100962Z,,"[8, 7, 9]"
2025-11-03T07:39:59.884657Z,"[9, 7, 10]",
2025-11-03T07:39:59.921138Z,,"[10, 8, 7]"
2025-11-03T07:40:01.030591Z,"[11, 9, 6]",
2025-11-03T07:40:01.070110Z,,"[12, 9, 7]"
2025-11-03T07:40:01.917018Z,"[13, 10, 7]",
2025-11-03T07:40:01.958183Z,,"[14, 6, 7]"
2025-11-03T07:40:03.359156Z,"[15, 6, 8]",
2025-11-03T07:40:03.400010Z,,"[16, 8, 8]"
2025-11-03T07:40:04.823167Z,"[17, 6, 6]",
2025-11-03T07:40:04.838525Z,,"[18, 4, 8]"
2025-11-03T07:40:06.329252Z,"[19, 9, 2]",
2025-11-03T07:40:17.014351Z,"[20, 9, 3]",
